name Oct4 Sox2 Nanog EpiTFs Lefty1 Pitx2 Esrrb
pert_200 -17.053 -15.334000000000001 35.281 -0.009000000000000001 -4.96 2.17 4.993
pert_201 -2.287 -15.334000000000001 35.281 3.201 -2.912 2.33 1.141
pert_202 -0.857 -15.334000000000001 35.281 2.298 -3.083 1.9569999999999999 2.263
pert_203 2.334 -15.334000000000001 35.281 0.282 -3.463 1.125 4.7669999999999995
pert_204 39.789 -15.334000000000001 35.281 3.833 0.33799999999999997 0.063 0.65
pert_205 39.789 -15.334000000000001 35.281 2.383 -0.10300000000000001 -0.4 2.436
pert_206 39.789 -15.334000000000001 35.281 0.8440000000000001 -0.57 -0.892 4.33
pert_208 -17.053 -15.334000000000001 35.281 2.2640000000000002 -4.27 2.8960000000000004 2.195
pert_209 -17.053 -15.334000000000001 35.281 -0.009000000000000001 -4.96 2.17 4.993
pert_210 -2.044 -15.334000000000001 35.281 3.205 -2.8939999999999997 2.316 1.139
pert_211 -0.644 -15.334000000000001 35.281 2.298 -3.0669999999999997 1.945 2.2640000000000002
pert_212 2.469 -15.334000000000001 35.281 0.284 -3.452 1.1179999999999999 4.766
pert_213 39.789 -15.334000000000001 35.281 3.833 0.33799999999999997 0.063 0.65
pert_214 39.789 -15.334000000000001 35.281 2.383 -0.10300000000000001 -0.4 2.436
pert_215 39.789 -15.334000000000001 35.281 0.8440000000000001 -0.57 -0.892 4.33
pert_218 -17.053 -15.334000000000001 35.281 -0.009000000000000001 -4.96 2.17 4.993
pert_221 0.059000000000000004 -15.334000000000001 35.281 0.248 -3.638 1.248 4.794
pert_222 39.789 -15.334000000000001 35.281 3.833 0.33799999999999997 0.063 0.65
pert_223 39.789 -15.334000000000001 35.281 2.383 -0.10300000000000001 -0.4 2.436
pert_224 39.789 -15.334000000000001 35.281 0.8440000000000001 -0.57 -0.892 4.33
pert_227 -17.053 -15.334000000000001 35.281 -0.009000000000000001 -4.96 2.17 4.993
pert_230 0.35 -15.334000000000001 35.281 0.252 -3.616 1.232 4.79
pert_231 39.789 -15.334000000000001 35.281 3.833 0.33799999999999997 0.063 0.65
pert_232 39.789 -15.334000000000001 35.281 2.383 -0.10300000000000001 -0.4 2.436
pert_233 39.789 -15.334000000000001 35.281 0.8440000000000001 -0.57 -0.892 4.33
pert_236 -17.053 -15.334000000000001 35.281 -0.009000000000000001 -4.96 2.17 4.993
pert_239 0.484 -15.334000000000001 35.281 0.254 -3.6060000000000003 1.225 4.789
pert_240 39.789 -15.334000000000001 35.281 3.833 0.33799999999999997 0.063 0.65
pert_241 39.789 -15.334000000000001 35.281 2.383 -0.10300000000000001 -0.4 2.436
pert_242 39.789 -15.334000000000001 35.281 0.8440000000000001 -0.57 -0.892 4.33
pert_248 -0.469 -4.27 -15.12 -1.044 0.802 0.852 1.501
pert_249 39.789 2.556 -15.12 1.619 5.62 -1.155 -2.32
pert_250 39.789 2.556 -15.12 0.452 5.266 -1.528 -0.884
pert_251 39.789 2.556 -15.12 -1.37 4.713 -2.11 1.359
pert_257 -0.325 -4.246 -15.12 -1.045 0.816 0.841 1.501
pert_258 39.789 2.556 -15.12 1.619 5.62 -1.155 -2.32
pert_259 39.789 2.556 -15.12 0.452 5.266 -1.528 -0.884
pert_260 39.789 2.556 -15.12 -1.37 4.713 -2.11 1.359
pert_266 -0.035 -4.197 -15.12 -1.047 0.8440000000000001 0.82 1.5
pert_267 39.789 2.556 -15.12 1.619 5.62 -1.155 -2.32
pert_268 39.789 2.556 -15.12 0.452 5.266 -1.528 -0.884
pert_269 39.789 2.556 -15.12 -1.37 4.713 -2.11 1.359
pert_277 39.789 2.556 -15.12 0.452 5.266 -1.528 -0.884
pert_278 39.789 2.556 -15.12 -1.37 4.713 -2.11 1.359
pert_286 39.789 2.556 -15.12 0.452 5.266 -1.528 -0.884
pert_287 39.789 2.556 -15.12 -1.37 4.713 -2.11 1.359
pert_293 -0.731 -4.315 -15.12 -1.042 0.777 0.871 1.5019999999999998
pert_294 39.789 2.556 -15.12 1.619 5.62 -1.155 -2.32
pert_295 39.789 2.556 -15.12 0.452 5.266 -1.528 -0.884
pert_296 39.789 2.556 -15.12 -1.37 4.713 -2.11 1.359
pert_305 39.789 2.556 -15.12 -1.37 4.713 -2.11 1.359
pert_314 39.789 2.556 -15.12 -1.37 4.713 -2.11 1.359
pert_322 39.789 2.556 -15.12 0.452 5.266 -1.528 -0.884
pert_323 39.789 2.556 -15.12 -1.37 4.713 -2.11 1.359
pert_329 1.274 -1.371 1.374 -1.486 0.23600000000000002 0.139 2.8739999999999997
pert_330 39.789 5.371 2.72 1.156 4.825 -1.787 -0.8290000000000001
pert_331 39.789 5.604 4.1930000000000005 -0.354 4.312 -2.309 1.1059999999999999
pert_332 39.789 5.843999999999999 5.712000000000001 -1.91 3.784 -2.8480000000000003 3.1
pert_335 -17.053 -4.64 0.35 -1.311 -1.499 1.524 2.853
pert_338 1.5830000000000002 -1.153 2.427 -1.516 0.21899999999999997 0.079 2.9610000000000003
pert_339 39.789 5.4239999999999995 3.052 1.147 4.81 -1.798 -0.802
pert_340 39.789 5.707999999999999 4.852 -0.381 4.28 -2.336 1.1740000000000002
pert_341 39.789 5.997000000000001 6.683 -1.935 3.741 -2.8819999999999997 3.182
pert_344 -17.053 -4.452 1.5419999999999998 -1.3419999999999999 -1.5519999999999998 1.4809999999999999 2.952
pert_347 1.952 -0.892 3.682 -1.551 0.19899999999999998 0.008 3.0639999999999996
pert_348 39.789 5.724 4.952 1.0979999999999999 4.725 -1.8659999999999999 -0.643
pert_349 39.789 5.962000000000001 6.461 -0.449 4.2 -2.401 1.34
pert_350 39.789 6.196000000000001 7.944 -1.9680000000000002 3.685 -2.927 3.287
pert_356 0.579 -1.725 -0.121 -1.4409999999999998 0.235 0.243 2.7510000000000003
pert_357 39.789 5.138999999999999 1.249 1.194 4.89 -1.734 -0.9520000000000001
pert_358 39.789 5.3870000000000005 2.8169999999999997 -0.297 4.38 -2.253 0.9640000000000001
pert_359 39.789 5.649 4.48 -1.8780000000000001 3.839 -2.804 2.998
pert_365 0.8959999999999999 -1.504 0.94 -1.472 0.218 0.182 2.839
pert_366 39.789 5.189 1.5659999999999998 1.186 4.876 -1.746 -0.9259999999999999
pert_367 39.789 5.49 3.468 -0.324 4.348 -2.28 1.031
pert_368 39.789 5.803999999999999 5.457999999999999 -1.9040000000000001 3.795 -2.839 3.0789999999999997
pert_371 -17.053 -4.678999999999999 0.105 -1.305 -1.4880000000000002 1.5319999999999998 2.832
pert_374 1.29 -1.229 2.258 -1.5090000000000001 0.198 0.107 2.947
pert_375 39.789 5.502000000000001 3.545 1.135 4.788 -1.8159999999999998 -0.76
pert_376 39.789 5.755 5.152 -0.39399999999999996 4.265 -2.3480000000000003 1.205
pert_377 39.789 6.0120000000000005 6.776 -1.9380000000000002 3.737 -2.885 3.1889999999999996
pert_385 39.789 4.655 -1.818 -0.10300000000000001 4.609 -2.066 0.48700000000000004
pert_386 39.789 4.91 -0.204 -1.757 4.048 -2.638 2.6060000000000003
pert_394 39.789 4.74 -1.2790000000000001 -0.126 4.583 -2.088 0.542
pert_395 39.789 5.048 0.669 -1.7790000000000001 4.0089999999999995 -2.6689999999999996 2.679
pert_402 39.789 4.79 -0.965 1.252 4.989 -1.656 -1.137
pert_403 39.789 5.013 0.45 -0.198 4.497 -2.158 0.72
pert_404 39.789 5.2620000000000005 2.028 -1.815 3.948 -2.717 2.793
pert_405 -17.053 0.8740000000000001 35.281 0.7709999999999999 -2.15 1.242 2.093
pert_406 -17.053 0.8740000000000001 35.281 -0.265 -2.464 0.91 3.3689999999999998
pert_407 -17.053 0.8740000000000001 35.281 -2.217 -3.057 0.287 5.772
pert_408 0.298 3.815 35.281 0.631 -0.46399999999999997 -0.035 2.032
pert_409 2.3609999999999998 4.165 35.281 -0.7390000000000001 -0.674 -0.619 3.69
pert_410 4.856 4.588 35.281 -2.395 -0.929 -1.325 5.695
pert_411 39.789 10.511 35.281 0.311 3.372 -2.94 1.892
pert_412 39.789 10.511 35.281 -1.651 2.7769999999999997 -3.5669999999999997 4.308
pert_413 39.789 10.511 35.281 -2.677 2.465 -3.895 5.572
pert_414 -17.053 0.8740000000000001 35.281 0.7709999999999999 -2.15 1.242 2.093
pert_415 -17.053 0.8740000000000001 35.281 -0.265 -2.464 0.91 3.3689999999999998
pert_416 -17.053 0.8740000000000001 35.281 -2.217 -3.057 0.287 5.772
pert_417 0.48700000000000004 3.847 35.281 0.629 -0.446 -0.049 2.031
pert_418 2.6060000000000003 4.207 35.281 -0.745 -0.652 -0.638 3.694
pert_419 5.156000000000001 4.638999999999999 35.281 -2.397 -0.899 -1.347 5.694
pert_420 39.789 10.511 35.281 0.311 3.372 -2.94 1.892
pert_421 39.789 10.511 35.281 -1.651 2.7769999999999997 -3.5669999999999997 4.308
pert_422 39.789 10.511 35.281 -2.677 2.465 -3.895 5.572
pert_423 -17.053 0.8740000000000001 35.281 0.7709999999999999 -2.15 1.242 2.093
pert_424 -17.053 0.8740000000000001 35.281 -0.265 -2.464 0.91 3.3689999999999998
pert_425 -17.053 0.8740000000000001 35.281 -2.217 -3.057 0.287 5.772
pert_426 0.732 3.889 35.281 0.627 -0.42200000000000004 -0.067 2.03
pert_427 2.806 4.2410000000000005 35.281 -0.7490000000000001 -0.633 -0.654 3.697
pert_428 5.29 4.662 35.281 -2.398 -0.8859999999999999 -1.357 5.694
pert_429 39.789 10.511 35.281 0.311 3.372 -2.94 1.892
pert_430 39.789 10.511 35.281 -1.651 2.7769999999999997 -3.5669999999999997 4.308
pert_431 39.789 10.511 35.281 -2.677 2.465 -3.895 5.572
pert_432 -17.053 0.8740000000000001 35.281 0.7709999999999999 -2.15 1.242 2.093
pert_433 -17.053 0.8740000000000001 35.281 -0.265 -2.464 0.91 3.3689999999999998
pert_434 -17.053 0.8740000000000001 35.281 -2.217 -3.057 0.287 5.772
pert_435 0.077 3.778 35.281 0.633 -0.486 -0.018000000000000002 2.032
pert_436 2.162 4.131 35.281 -0.7340000000000001 -0.693 -0.603 3.6860000000000004
pert_437 4.694 4.561 35.281 -2.3930000000000002 -0.9440000000000001 -1.3130000000000002 5.696000000000001
pert_438 39.789 10.511 35.281 0.311 3.372 -2.94 1.892
pert_439 39.789 10.511 35.281 -1.651 2.7769999999999997 -3.5669999999999997 4.308
pert_440 39.789 10.511 35.281 -2.677 2.465 -3.895 5.572
pert_441 -17.053 0.8740000000000001 35.281 0.7709999999999999 -2.15 1.242 2.093
pert_442 -17.053 0.8740000000000001 35.281 -0.265 -2.464 0.91 3.3689999999999998
pert_443 -17.053 0.8740000000000001 35.281 -2.217 -3.057 0.287 5.772
pert_444 0.266 3.81 35.281 0.631 -0.467 -0.032 2.032
pert_445 2.407 4.173 35.281 -0.74 -0.67 -0.622 3.6910000000000003
pert_446 4.994 4.611000000000001 35.281 -2.396 -0.915 -1.335 5.695
pert_447 39.789 10.511 35.281 0.311 3.372 -2.94 1.892
pert_448 39.789 10.511 35.281 -1.651 2.7769999999999997 -3.5669999999999997 4.308
pert_449 39.789 10.511 35.281 -2.677 2.465 -3.895 5.572
pert_450 -17.053 0.8740000000000001 35.281 0.7709999999999999 -2.15 1.242 2.093
pert_451 -17.053 0.8740000000000001 35.281 -0.265 -2.464 0.91 3.3689999999999998
pert_452 -17.053 0.8740000000000001 35.281 -2.217 -3.057 0.287 5.772
pert_453 0.511 3.8510000000000004 35.281 0.629 -0.44299999999999995 -0.05 2.031
pert_454 2.608 4.207 35.281 -0.745 -0.652 -0.638 3.694
pert_455 5.129 4.6339999999999995 35.281 -2.397 -0.902 -1.345 5.694
pert_456 39.789 10.511 35.281 0.311 3.372 -2.94 1.892
pert_457 39.789 10.511 35.281 -1.651 2.7769999999999997 -3.5669999999999997 4.308
pert_458 39.789 10.511 35.281 -2.677 2.465 -3.895 5.572
pert_461 -17.053 0.8740000000000001 35.281 -2.217 -3.057 0.287 5.772
pert_463 0.062 3.775 35.281 -0.682 -0.8859999999999999 -0.43799999999999994 3.6519999999999997
pert_464 2.614 4.208 35.281 -2.376 -1.146 -1.16 5.702999999999999
pert_465 39.789 10.511 35.281 0.311 3.372 -2.94 1.892
pert_466 39.789 10.511 35.281 -1.651 2.7769999999999997 -3.5669999999999997 4.308
pert_467 39.789 10.511 35.281 -2.677 2.465 -3.895 5.572
pert_470 -17.053 0.8740000000000001 35.281 -2.217 -3.057 0.287 5.772
pert_472 0.307 3.8169999999999997 35.281 -0.688 -0.8640000000000001 -0.457 3.656
pert_473 2.9139999999999997 4.2589999999999995 35.281 -2.379 -1.117 -1.182 5.702000000000001
pert_474 39.789 10.511 35.281 0.311 3.372 -2.94 1.892
pert_475 39.789 10.511 35.281 -1.651 2.7769999999999997 -3.5669999999999997 4.308
pert_476 39.789 10.511 35.281 -2.677 2.465 -3.895 5.572
pert_478 -17.053 0.8740000000000001 35.281 -0.265 -2.464 0.91 3.3689999999999998
pert_479 -17.053 0.8740000000000001 35.281 -2.217 -3.057 0.287 5.772
pert_480 -1.511 3.509 35.281 0.645 -0.64 0.098 2.0380000000000003
pert_481 0.507 3.8510000000000004 35.281 -0.693 -0.845 -0.473 3.659
pert_482 3.048 4.282 35.281 -2.38 -1.104 -1.192 5.7010000000000005
pert_483 39.789 10.511 35.281 0.311 3.372 -2.94 1.892
pert_484 39.789 10.511 35.281 -1.651 2.7769999999999997 -3.5669999999999997 4.308
pert_485 39.789 10.511 35.281 -2.677 2.465 -3.895 5.572
pert_488 -17.053 35.779 -15.12 -6.75 4.224 -2.908 3.6189999999999998
pert_490 2.309 35.779 -15.12 -4.811 6.22 -3.425 1.365
pert_491 4.766 35.779 -15.12 -6.422000000000001 5.909 -4.084 3.365
pert_492 39.789 35.779 -15.12 -2.908 9.522 -5.015 -0.7240000000000001
pert_493 39.789 35.779 -15.12 -4.7330000000000005 8.968 -5.598 1.524
pert_494 39.789 35.779 -15.12 -5.896 8.615 -5.97 2.9560000000000004
pert_496 -17.053 35.779 -15.12 -4.852 4.8 -2.302 1.2830000000000001
pert_497 -17.053 35.779 -15.12 -6.75 4.224 -2.908 3.6189999999999998
pert_499 2.398 35.779 -15.12 -4.811 6.226 -3.43 1.365
pert_500 4.913 35.779 -15.12 -6.42 5.921 -4.092 3.363
pert_501 39.789 35.779 -15.12 -2.908 9.522 -5.015 -0.7240000000000001
pert_502 39.789 35.779 -15.12 -4.7330000000000005 8.968 -5.598 1.524
pert_503 39.789 35.779 -15.12 -5.896 8.615 -5.97 2.9560000000000004
pert_505 -17.053 35.779 -15.12 -4.852 4.8 -2.302 1.2830000000000001
pert_506 -17.053 35.779 -15.12 -6.75 4.224 -2.908 3.6189999999999998
pert_508 2.741 35.779 -15.12 -4.811 6.251 -3.45 1.367
pert_509 5.191 35.779 -15.12 -6.416 5.942 -4.107 3.36
pert_510 39.789 35.779 -15.12 -2.908 9.522 -5.015 -0.7240000000000001
pert_511 39.789 35.779 -15.12 -4.7330000000000005 8.968 -5.598 1.524
pert_512 39.789 35.779 -15.12 -5.896 8.615 -5.97 2.9560000000000004
pert_515 -17.053 35.779 -15.12 -6.75 4.224 -2.908 3.6189999999999998
pert_517 1.685 35.779 -15.12 -4.813 6.1739999999999995 -3.389 1.3619999999999999
pert_518 4.186 35.779 -15.12 -6.431 5.864 -4.052 3.3710000000000004
pert_519 39.789 35.779 -15.12 -2.908 9.522 -5.015 -0.7240000000000001
pert_520 39.789 35.779 -15.12 -4.7330000000000005 8.968 -5.598 1.524
pert_521 39.789 35.779 -15.12 -5.896 8.615 -5.97 2.9560000000000004
pert_524 -17.053 35.779 -15.12 -6.75 4.224 -2.908 3.6189999999999998
pert_526 1.775 35.779 -15.12 -4.813 6.181 -3.3939999999999997 1.3619999999999999
pert_527 4.333 35.779 -15.12 -6.428999999999999 5.876 -4.06 3.37
pert_528 39.789 35.779 -15.12 -2.908 9.522 -5.015 -0.7240000000000001
pert_529 39.789 35.779 -15.12 -4.7330000000000005 8.968 -5.598 1.524
pert_530 39.789 35.779 -15.12 -5.896 8.615 -5.97 2.9560000000000004
pert_532 -17.053 35.779 -15.12 -4.852 4.8 -2.302 1.2830000000000001
pert_533 -17.053 35.779 -15.12 -6.75 4.224 -2.908 3.6189999999999998
pert_535 2.1180000000000003 35.779 -15.12 -4.812 6.206 -3.4139999999999997 1.364
pert_536 4.61 35.779 -15.12 -6.4239999999999995 5.897 -4.075 3.366
pert_537 39.789 35.779 -15.12 -2.908 9.522 -5.015 -0.7240000000000001
pert_538 39.789 35.779 -15.12 -4.7330000000000005 8.968 -5.598 1.524
pert_539 39.789 35.779 -15.12 -5.896 8.615 -5.97 2.9560000000000004
pert_545 2.573 35.779 -15.12 -6.455 5.74 -3.966 3.39
pert_546 39.789 35.779 -15.12 -2.908 9.522 -5.015 -0.7240000000000001
pert_547 39.789 35.779 -15.12 -4.7330000000000005 8.968 -5.598 1.524
pert_548 39.789 35.779 -15.12 -5.896 8.615 -5.97 2.9560000000000004
pert_554 2.722 35.779 -15.12 -6.452999999999999 5.751 -3.9739999999999998 3.388
pert_555 39.789 35.779 -15.12 -2.908 9.522 -5.015 -0.7240000000000001
pert_556 39.789 35.779 -15.12 -4.7330000000000005 8.968 -5.598 1.524
pert_557 39.789 35.779 -15.12 -5.896 8.615 -5.97 2.9560000000000004
pert_560 -17.053 35.779 -15.12 -6.75 4.224 -2.908 3.6189999999999998
pert_563 2.998 35.779 -15.12 -6.449 5.773 -3.988 3.385
pert_564 39.789 35.779 -15.12 -2.908 9.522 -5.015 -0.7240000000000001
pert_565 39.789 35.779 -15.12 -4.7330000000000005 8.968 -5.598 1.524
pert_566 39.789 35.779 -15.12 -5.896 8.615 -5.97 2.9560000000000004
pert_568 -17.053 35.779 2.276 -5.149 3.635 -2.6689999999999996 2.8760000000000003
pert_569 -17.053 35.779 3.926 -6.834 3.0210000000000004 -3.234 5.067
pert_570 1.7830000000000001 35.779 2.707 -3.5580000000000003 5.46 -3.272 1.075
pert_571 4.343 35.779 4.53 -5.143 5.053 -3.958 3.173
pert_572 6.519 35.779 6.079 -6.49 4.706 -4.54 4.955
pert_573 39.789 35.779 6.178999999999999 -3.003 8.177 -5.379 0.895
pert_574 39.789 35.779 8.265 -5.132999999999999 7.401 -6.0920000000000005 3.665
pert_575 39.789 35.779 9.118 -6.004 7.084 -6.3839999999999995 4.798
pert_576 -17.053 35.779 1.5090000000000001 -3.835 4.081 -2.237 1.203
pert_577 -17.053 35.779 3.0839999999999996 -5.162999999999999 3.5810000000000004 -2.6860000000000004 2.95
pert_578 -17.053 35.779 5.073 -6.8389999999999995 2.949 -3.253 5.154
pert_579 1.9180000000000001 35.779 3.207 -3.5580000000000003 5.439 -3.2880000000000003 1.111
pert_580 4.595 35.779 5.391 -5.157 5.013999999999999 -3.99 3.253
pert_581 6.8260000000000005 35.779 7.211 -6.49 4.659 -4.5760000000000005 5.038
pert_582 39.789 35.779 6.598 -3.0039999999999996 8.151 -5.386 0.927
pert_583 39.789 35.779 9.141 -5.148 7.343 -6.111000000000001 3.745
pert_584 39.789 35.779 10.162 -6.0089999999999995 7.018 -6.402 4.877
pert_585 -17.053 35.779 3.179 -3.842 3.9760000000000004 -2.266 1.33
pert_586 -17.053 35.779 4.496 -5.187 3.486 -2.716 3.0789999999999997
pert_587 -17.053 35.779 6.117999999999999 -6.843999999999999 2.883 -3.2710000000000004 5.233
pert_588 2.3930000000000002 35.779 4.955 -3.5580000000000003 5.3660000000000005 -3.343 1.238
pert_589 5.013 35.779 6.82 -5.181 4.948 -4.045 3.385
pert_590 7.129 35.779 8.327 -6.4910000000000005 4.611000000000001 -4.611000000000001 5.119
pert_591 39.789 35.779 8.371 -3.012 8.039 -5.416 1.061
pert_592 39.789 35.779 10.484000000000002 -5.171 7.252999999999999 -6.138999999999999 3.8680000000000003
pert_593 39.789 35.779 11.31 -6.013999999999999 6.946000000000001 -6.421 4.9639999999999995
pert_595 -17.053 35.779 1.058 -5.127999999999999 3.717 -2.6439999999999997 2.764
pert_596 -17.053 35.779 2.853 -6.829 3.089 -3.215 4.985
pert_597 1.202 35.779 1.403 -3.56 5.497999999999999 -3.219 0.982
pert_598 3.7880000000000003 35.779 3.3360000000000003 -5.124 5.092 -3.9 3.0610000000000004
pert_599 6.051 35.779 5.0280000000000005 -6.492000000000001 4.736000000000001 -4.497 4.881
pert_600 39.789 35.779 5.035 -2.997 8.249 -5.359 0.8079999999999999
pert_601 39.789 35.779 7.27 -5.1160000000000005 7.468 -6.071000000000001 3.574
pert_602 39.789 35.779 8.203 -6.0 7.142 -6.367999999999999 4.728
pert_604 -17.053 35.779 1.865 -5.142 3.662 -2.661 2.838
pert_605 -17.053 35.779 4.013999999999999 -6.834 3.016 -3.235 5.073
pert_606 1.339 35.779 1.8969999999999998 -3.5610000000000004 5.477 -3.234 1.018
pert_607 4.045 35.779 4.199 -5.138 5.053 -3.9330000000000003 3.141
pert_608 6.369 35.779 6.176 -6.492999999999999 4.689 -4.534 4.9639999999999995
pert_609 39.789 35.779 5.447 -2.9989999999999997 8.222999999999999 -5.3660000000000005 0.8390000000000001
pert_610 39.789 35.779 8.152000000000001 -5.131 7.409 -6.09 3.655
pert_611 39.789 35.779 9.261000000000001 -6.005 7.075 -6.3870000000000005 4.809
pert_612 -17.053 35.779 1.936 -3.8369999999999997 4.053999999999999 -2.245 1.236
pert_613 -17.053 35.779 3.34 -5.167000000000001 3.5639999999999996 -2.6919999999999997 2.9730000000000003
pert_614 -17.053 35.779 5.104 -6.8389999999999995 2.947 -3.2539999999999996 5.156000000000001
pert_615 1.841 35.779 3.714 -3.5610000000000004 5.401 -3.293 1.151
