AKT1 CCNA1 CTNNB1 E2F1 GRB2 MAPK1 MAPK14 MAPK8 MDM2 PDK1 SMAD7 SRC TSC1 up down total
pert_208855 down nochange down nochange nochange up nochange nochange nochange nochange nochange down nochange 1 3 4
pert_208857 down nochange down nochange nochange up nochange nochange nochange nochange nochange nochange down 1 3 4
pert_208867 down nochange down nochange nochange up nochange nochange nochange nochange up nochange nochange 2 2 4
pert_208885 down nochange down nochange nochange up nochange nochange nochange up nochange nochange nochange 2 2 4
pert_239233 down nochange nochange down down nochange nochange down nochange nochange nochange nochange nochange 0 4 4
pert_239473 down nochange nochange down down nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_243847 down nochange nochange down nochange down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_245791 down nochange nochange down nochange nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_245953 down nochange nochange down nochange nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_246007 down nochange nochange down nochange nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_246025 down nochange nochange down nochange nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_246035 down nochange nochange down nochange nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_246043 down nochange nochange down nochange nochange nochange nochange nochange nochange up down nochange 1 3 4
pert_246061 down nochange nochange down nochange nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_256969 down nochange nochange nochange down down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_258187 down nochange nochange nochange down nochange down down nochange nochange nochange nochange nochange 0 4 4
pert_258427 down nochange nochange nochange down nochange down nochange nochange nochange nochange down nochange 0 4 4
pert_258913 down nochange nochange nochange down nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_259075 down nochange nochange nochange down nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_259129 down nochange nochange nochange down nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_259147 down nochange nochange nochange down nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_259157 down nochange nochange nochange down nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_259165 down nochange nochange nochange down nochange nochange nochange nochange nochange up down nochange 1 3 4
pert_259183 down nochange nochange nochange down nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_259399 down nochange nochange nochange down nochange nochange up nochange nochange nochange down nochange 1 3 4
pert_261347 down nochange nochange nochange down up nochange nochange nochange nochange nochange nochange up 2 2 4
pert_262801 down nochange nochange nochange nochange down down nochange nochange nochange nochange down nochange 0 4 4
pert_263287 down nochange nochange nochange nochange down nochange down nochange nochange nochange down nochange 0 4 4
pert_263449 down nochange nochange nochange nochange down nochange nochange down nochange nochange down nochange 0 4 4
pert_263503 down nochange nochange nochange nochange down nochange nochange nochange down nochange down nochange 0 4 4
pert_263521 down nochange nochange nochange nochange down nochange nochange nochange nochange down down nochange 0 4 4
pert_263529 down nochange nochange nochange nochange down nochange nochange nochange nochange nochange down down 0 4 4
pert_263539 down nochange nochange nochange nochange down nochange nochange nochange nochange up down nochange 1 3 4
pert_263557 down nochange nochange nochange nochange down nochange nochange nochange up nochange down nochange 1 3 4
pert_264745 down nochange nochange nochange nochange nochange down down nochange nochange nochange down nochange 0 4 4
pert_264907 down nochange nochange nochange nochange nochange down nochange down nochange nochange down nochange 0 4 4
pert_264961 down nochange nochange nochange nochange nochange down nochange nochange down nochange down nochange 0 4 4
pert_264979 down nochange nochange nochange nochange nochange down nochange nochange nochange down down nochange 0 4 4
pert_264987 down nochange nochange nochange nochange nochange down nochange nochange nochange nochange down down 0 4 4
pert_264989 down nochange nochange nochange nochange nochange down nochange nochange nochange nochange down up 1 3 4
pert_264997 down nochange nochange nochange nochange nochange down nochange nochange nochange up down nochange 1 3 4
pert_265015 down nochange nochange nochange nochange nochange down nochange nochange up nochange down nochange 1 3 4
pert_265393 down nochange nochange nochange nochange nochange nochange down down nochange nochange down nochange 0 4 4
pert_265447 down nochange nochange nochange nochange nochange nochange down nochange down nochange down nochange 0 4 4
pert_265465 down nochange nochange nochange nochange nochange nochange down nochange nochange down down nochange 0 4 4
pert_265475 down nochange nochange nochange nochange nochange nochange down nochange nochange nochange down up 1 3 4
pert_265483 down nochange nochange nochange nochange nochange nochange down nochange nochange up down nochange 1 3 4
pert_265501 down nochange nochange nochange nochange nochange nochange down nochange up nochange down nochange 1 3 4
pert_265609 down nochange nochange nochange nochange nochange nochange nochange down down nochange down nochange 0 4 4
pert_265627 down nochange nochange nochange nochange nochange nochange nochange down nochange down down nochange 0 4 4
pert_265637 down nochange nochange nochange nochange nochange nochange nochange down nochange nochange down up 1 3 4
pert_265645 down nochange nochange nochange nochange nochange nochange nochange down nochange up down nochange 1 3 4
pert_265663 down nochange nochange nochange nochange nochange nochange nochange down up nochange down nochange 1 3 4
pert_265681 down nochange nochange nochange nochange nochange nochange nochange nochange down down down nochange 0 4 4
pert_265691 down nochange nochange nochange nochange nochange nochange nochange nochange down nochange down up 1 3 4
pert_265699 down nochange nochange nochange nochange nochange nochange nochange nochange down up down nochange 1 3 4
pert_265709 down nochange nochange nochange nochange nochange nochange nochange nochange nochange down down up 1 3 4
pert_265727 down nochange nochange nochange nochange nochange nochange nochange nochange nochange up down up 2 2 4
pert_265735 down nochange nochange nochange nochange nochange nochange nochange nochange up down down nochange 1 3 4
pert_265745 down nochange nochange nochange nochange nochange nochange nochange nochange up nochange down up 2 2 4
pert_265753 down nochange nochange nochange nochange nochange nochange nochange nochange up up down nochange 2 2 4
pert_266447 down nochange nochange nochange nochange nochange up nochange nochange nochange nochange down up 2 2 4
pert_267905 down nochange nochange nochange nochange up nochange nochange nochange nochange nochange down up 2 2 4
pert_383815 down up down nochange nochange nochange nochange nochange nochange nochange nochange down nochange 1 3 4
pert_386005 down up down nochange nochange up nochange nochange nochange nochange nochange nochange nochange 2 2 4
pert_423181 down up nochange down nochange nochange nochange nochange nochange nochange nochange down nochange 1 3 4
pert_436303 down up nochange nochange down nochange nochange nochange nochange nochange nochange down nochange 1 3 4
pert_440677 down up nochange nochange nochange down nochange nochange nochange nochange nochange down nochange 1 3 4
pert_442135 down up nochange nochange nochange nochange down nochange nochange nochange nochange down nochange 1 3 4
pert_442621 down up nochange nochange nochange nochange nochange down nochange nochange nochange down nochange 1 3 4
pert_442783 down up nochange nochange nochange nochange nochange nochange down nochange nochange down nochange 1 3 4
pert_442837 down up nochange nochange nochange nochange nochange nochange nochange down nochange down nochange 1 3 4
pert_442855 down up nochange nochange nochange nochange nochange nochange nochange nochange down down nochange 1 3 4
pert_442865 down up nochange nochange nochange nochange nochange nochange nochange nochange nochange down up 2 2 4
pert_442873 down up nochange nochange nochange nochange nochange nochange nochange nochange up down nochange 2 2 4
pert_442891 down up nochange nochange nochange nochange nochange nochange nochange up nochange down nochange 2 2 4
pert_554401 nochange down down nochange down nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_558775 nochange down down nochange nochange down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_560719 nochange down down nochange nochange nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_560881 nochange down down nochange nochange nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_560935 nochange down down nochange nochange nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_560953 nochange down down nochange nochange nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_560961 nochange down down nochange nochange nochange nochange nochange nochange nochange nochange down down 0 4 4
pert_560963 nochange down down nochange nochange nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_561691 nochange down down nochange nochange nochange up nochange nochange nochange nochange down nochange 1 3 4
pert_563125 nochange down down nochange nochange up nochange nochange nochange down nochange nochange nochange 1 3 4
pert_600329 nochange down nochange down nochange nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_611263 nochange down nochange nochange down down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_613129 nochange down nochange nochange down nochange nochange down down nochange nochange nochange nochange 0 4 4
pert_613183 nochange down nochange nochange down nochange nochange down nochange down nochange nochange nochange 0 4 4
pert_613201 nochange down nochange nochange down nochange nochange down nochange nochange down nochange nochange 0 4 4
pert_613207 nochange down nochange nochange down nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_613369 nochange down nochange nochange down nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_613423 nochange down nochange nochange down nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_613441 nochange down nochange nochange down nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_613451 nochange down nochange nochange down nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_613693 nochange down nochange nochange down nochange nochange up nochange nochange nochange down nochange 1 3 4
pert_615641 nochange down nochange nochange down up nochange nochange nochange nochange nochange nochange up 2 2 4
pert_617581 nochange down nochange nochange nochange down nochange down nochange nochange nochange down nochange 0 4 4
pert_617743 nochange down nochange nochange nochange down nochange nochange down nochange nochange down nochange 0 4 4
pert_617797 nochange down nochange nochange nochange down nochange nochange nochange down nochange down nochange 0 4 4
pert_617815 nochange down nochange nochange nochange down nochange nochange nochange nochange down down nochange 0 4 4
pert_617823 nochange down nochange nochange nochange down nochange nochange nochange nochange nochange down down 0 4 4
pert_617851 nochange down nochange nochange nochange down nochange nochange nochange up nochange down nochange 1 3 4
pert_619687 nochange down nochange nochange nochange nochange nochange down down nochange nochange down nochange 0 4 4
pert_619741 nochange down nochange nochange nochange nochange nochange down nochange down nochange down nochange 0 4 4
pert_619759 nochange down nochange nochange nochange nochange nochange down nochange nochange down down nochange 0 4 4
pert_619769 nochange down nochange nochange nochange nochange nochange down nochange nochange nochange down up 1 3 4
pert_619903 nochange down nochange nochange nochange nochange nochange nochange down down nochange down nochange 0 4 4
pert_619921 nochange down nochange nochange nochange nochange nochange nochange down nochange down down nochange 0 4 4
pert_619931 nochange down nochange nochange nochange nochange nochange nochange down nochange nochange down up 1 3 4
pert_619975 nochange down nochange nochange nochange nochange nochange nochange nochange down down down nochange 0 4 4
pert_619985 nochange down nochange nochange nochange nochange nochange nochange nochange down nochange down up 1 3 4
pert_619993 nochange down nochange nochange nochange nochange nochange nochange nochange down up down nochange 1 3 4
pert_620003 nochange down nochange nochange nochange nochange nochange nochange nochange nochange down down up 1 3 4
pert_620021 nochange down nochange nochange nochange nochange nochange nochange nochange nochange up down up 2 2 4
pert_620029 nochange down nochange nochange nochange nochange nochange nochange nochange up down down nochange 1 3 4
pert_620039 nochange down nochange nochange nochange nochange nochange nochange nochange up nochange down up 2 2 4
pert_620253 nochange down nochange nochange nochange nochange nochange up nochange nochange nochange down down 1 3 4
pert_621959 nochange down nochange nochange nochange up nochange down nochange nochange nochange nochange up 2 2 4
pert_622199 nochange down nochange nochange nochange up nochange nochange nochange nochange nochange down up 2 2 4
pert_718427 nochange nochange down down nochange nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_719155 nochange nochange down down nochange nochange up nochange nochange nochange nochange down nochange 1 3 4
pert_729361 nochange nochange down nochange down down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_731305 nochange nochange down nochange down nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_731467 nochange nochange down nochange down nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_731521 nochange nochange down nochange down nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_731539 nochange nochange down nochange down nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_731547 nochange nochange down nochange down nochange nochange nochange nochange nochange nochange down down 0 4 4
pert_731549 nochange nochange down nochange down nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_731791 nochange nochange down nochange down nochange nochange up nochange nochange nochange down nochange 1 3 4
pert_732277 nochange nochange down nochange down nochange up nochange nochange nochange nochange down nochange 1 3 4
pert_733711 nochange nochange down nochange down up nochange nochange nochange down nochange nochange nochange 1 3 4
pert_733739 nochange nochange down nochange down up nochange nochange nochange nochange nochange nochange up 2 2 4
pert_735679 nochange nochange down nochange nochange down nochange down nochange nochange nochange down nochange 0 4 4
pert_735841 nochange nochange down nochange nochange down nochange nochange down nochange nochange down nochange 0 4 4
pert_735895 nochange nochange down nochange nochange down nochange nochange nochange down nochange down nochange 0 4 4
pert_735913 nochange nochange down nochange nochange down nochange nochange nochange nochange down down nochange 0 4 4
pert_735921 nochange nochange down nochange nochange down nochange nochange nochange nochange nochange down down 0 4 4
pert_735949 nochange nochange down nochange nochange down nochange nochange nochange up nochange down nochange 1 3 4
pert_736651 nochange nochange down nochange nochange down up nochange nochange nochange nochange down nochange 1 3 4
pert_737785 nochange nochange down nochange nochange nochange nochange down down nochange nochange down nochange 0 4 4
pert_737839 nochange nochange down nochange nochange nochange nochange down nochange down nochange down nochange 0 4 4
pert_737857 nochange nochange down nochange nochange nochange nochange down nochange nochange down down nochange 0 4 4
pert_737865 nochange nochange down nochange nochange nochange nochange down nochange nochange nochange down down 0 4 4
pert_737867 nochange nochange down nochange nochange nochange nochange down nochange nochange nochange down up 1 3 4
pert_738001 nochange nochange down nochange nochange nochange nochange nochange down down nochange down nochange 0 4 4
pert_738019 nochange nochange down nochange nochange nochange nochange nochange down nochange down down nochange 0 4 4
pert_738027 nochange nochange down nochange nochange nochange nochange nochange down nochange nochange down down 0 4 4
pert_738029 nochange nochange down nochange nochange nochange nochange nochange down nochange nochange down up 1 3 4
pert_738073 nochange nochange down nochange nochange nochange nochange nochange nochange down down down nochange 0 4 4
pert_738081 nochange nochange down nochange nochange nochange nochange nochange nochange down nochange down down 0 4 4
pert_738083 nochange nochange down nochange nochange nochange nochange nochange nochange down nochange down up 1 3 4
pert_738091 nochange nochange down nochange nochange nochange nochange nochange nochange down up down nochange 1 3 4
pert_738099 nochange nochange down nochange nochange nochange nochange nochange nochange nochange down down down 0 4 4
pert_738101 nochange nochange down nochange nochange nochange nochange nochange nochange nochange down down up 1 3 4
pert_738119 nochange nochange down nochange nochange nochange nochange nochange nochange nochange up down up 2 2 4
pert_738127 nochange nochange down nochange nochange nochange nochange nochange nochange up down down nochange 1 3 4
pert_738137 nochange nochange down nochange nochange nochange nochange nochange nochange up nochange down up 2 2 4
pert_738595 nochange nochange down nochange nochange nochange up down nochange nochange nochange down nochange 1 3 4
pert_738757 nochange nochange down nochange nochange nochange up nochange down nochange nochange down nochange 1 3 4
pert_738811 nochange nochange down nochange nochange nochange up nochange nochange down nochange down nochange 1 3 4
pert_738829 nochange nochange down nochange nochange nochange up nochange nochange nochange down down nochange 1 3 4
pert_738837 nochange nochange down nochange nochange nochange up nochange nochange nochange nochange down down 1 3 4
pert_738839 nochange nochange down nochange nochange nochange up nochange nochange nochange nochange down up 2 2 4
pert_738847 nochange nochange down nochange nochange nochange up nochange nochange nochange up down nochange 2 2 4
pert_738865 nochange nochange down nochange nochange nochange up nochange nochange up nochange down nochange 2 2 4
pert_740029 nochange nochange down nochange nochange up nochange down nochange down nochange nochange nochange 1 3 4
pert_740191 nochange nochange down nochange nochange up nochange nochange down down nochange nochange nochange 1 3 4
pert_740263 nochange nochange down nochange nochange up nochange nochange nochange down down nochange nochange 1 3 4
pert_740269 nochange nochange down nochange nochange up nochange nochange nochange down nochange down nochange 1 3 4
pert_740271 nochange nochange down nochange nochange up nochange nochange nochange down nochange nochange down 1 3 4
pert_740287 nochange nochange down nochange nochange up nochange nochange nochange nochange down down nochange 1 3 4
pert_740297 nochange nochange down nochange nochange up nochange nochange nochange nochange nochange down up 2 2 4
pert_770915 nochange nochange nochange down down nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_775261 nochange nochange nochange down nochange down nochange nochange nochange down nochange down nochange 0 4 4
pert_777233 nochange nochange nochange down nochange nochange nochange down nochange nochange nochange down up 1 3 4
pert_777395 nochange nochange nochange down nochange nochange nochange nochange down nochange nochange down up 1 3 4
pert_777439 nochange nochange nochange down nochange nochange nochange nochange nochange down down down nochange 0 4 4
pert_777449 nochange nochange nochange down nochange nochange nochange nochange nochange down nochange down up 1 3 4
pert_777467 nochange nochange nochange down nochange nochange nochange nochange nochange nochange down down up 1 3 4
pert_778205 nochange nochange nochange down nochange nochange up nochange nochange nochange nochange down up 2 2 4
pert_788167 nochange nochange nochange nochange down down nochange down nochange nochange nochange down nochange 0 4 4
pert_788329 nochange nochange nochange nochange down down nochange nochange down nochange nochange down nochange 0 4 4
pert_788383 nochange nochange nochange nochange down down nochange nochange nochange down nochange down nochange 0 4 4
pert_788401 nochange nochange nochange nochange down down nochange nochange nochange nochange down down nochange 0 4 4
pert_788409 nochange nochange nochange nochange down down nochange nochange nochange nochange nochange down down 0 4 4
pert_788411 nochange nochange nochange nochange down down nochange nochange nochange nochange nochange down up 1 3 4
pert_788653 nochange nochange nochange nochange down down nochange up nochange nochange nochange down nochange 1 3 4
