AKT1 CCNA1 CTNNB1 E2F1 GRB2 MAPK1 MAPK14 MAPK8 MDM2 PDK1 SMAD7 SRC TSC1 up down total
pert_88489 down down nochange nochange nochange nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_88543 down down nochange nochange nochange nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_88561 down down nochange nochange nochange nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_88569 down down nochange nochange nochange nochange nochange nochange nochange nochange nochange down down 0 4 4
pert_88571 down down nochange nochange nochange nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_88579 down down nochange nochange nochange nochange nochange nochange nochange nochange up down nochange 1 3 4
pert_88597 down down nochange nochange nochange nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_186985 down nochange down down nochange nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_200107 down nochange down nochange down nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_204481 down nochange down nochange nochange down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_205939 down nochange down nochange nochange nochange down nochange nochange nochange nochange down nochange 0 4 4
pert_206425 down nochange down nochange nochange nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_206587 down nochange down nochange nochange nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_206641 down nochange down nochange nochange nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_206659 down nochange down nochange nochange nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_206667 down nochange down nochange nochange nochange nochange nochange nochange nochange nochange down down 0 4 4
pert_206669 down nochange down nochange nochange nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_206677 down nochange down nochange nochange nochange nochange nochange nochange nochange up down nochange 1 3 4
pert_206695 down nochange down nochange nochange nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_206749 down nochange down nochange nochange nochange nochange nochange up nochange nochange down nochange 1 3 4
pert_239233 down nochange nochange down down nochange nochange down nochange nochange nochange nochange nochange 0 4 4
pert_239473 down nochange nochange down down nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_243847 down nochange nochange down nochange down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_245305 down nochange nochange down nochange nochange down nochange nochange nochange nochange down nochange 0 4 4
pert_245791 down nochange nochange down nochange nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_245953 down nochange nochange down nochange nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_246007 down nochange nochange down nochange nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_246025 down nochange nochange down nochange nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_246033 down nochange nochange down nochange nochange nochange nochange nochange nochange nochange down down 0 4 4
pert_246035 down nochange nochange down nochange nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_246043 down nochange nochange down nochange nochange nochange nochange nochange nochange up down nochange 1 3 4
pert_246061 down nochange nochange down nochange nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_246115 down nochange nochange down nochange nochange nochange nochange up nochange nochange down nochange 1 3 4
pert_256969 down nochange nochange nochange down down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_258427 down nochange nochange nochange down nochange down nochange nochange nochange nochange down nochange 0 4 4
pert_258913 down nochange nochange nochange down nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_259075 down nochange nochange nochange down nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_259129 down nochange nochange nochange down nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_259147 down nochange nochange nochange down nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_259155 down nochange nochange nochange down nochange nochange nochange nochange nochange nochange down down 0 4 4
pert_259157 down nochange nochange nochange down nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_259165 down nochange nochange nochange down nochange nochange nochange nochange nochange up down nochange 1 3 4
pert_259183 down nochange nochange nochange down nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_259237 down nochange nochange nochange down nochange nochange nochange up nochange nochange down nochange 1 3 4
pert_262801 down nochange nochange nochange nochange down down nochange nochange nochange nochange down nochange 0 4 4
pert_263287 down nochange nochange nochange nochange down nochange down nochange nochange nochange down nochange 0 4 4
pert_263449 down nochange nochange nochange nochange down nochange nochange down nochange nochange down nochange 0 4 4
pert_263503 down nochange nochange nochange nochange down nochange nochange nochange down nochange down nochange 0 4 4
pert_263521 down nochange nochange nochange nochange down nochange nochange nochange nochange down down nochange 0 4 4
pert_263529 down nochange nochange nochange nochange down nochange nochange nochange nochange nochange down down 0 4 4
pert_263539 down nochange nochange nochange nochange down nochange nochange nochange nochange up down nochange 1 3 4
pert_263557 down nochange nochange nochange nochange down nochange nochange nochange up nochange down nochange 1 3 4
pert_263611 down nochange nochange nochange nochange down nochange nochange up nochange nochange down nochange 1 3 4
pert_264745 down nochange nochange nochange nochange nochange down down nochange nochange nochange down nochange 0 4 4
pert_264907 down nochange nochange nochange nochange nochange down nochange down nochange nochange down nochange 0 4 4
pert_264961 down nochange nochange nochange nochange nochange down nochange nochange down nochange down nochange 0 4 4
pert_264979 down nochange nochange nochange nochange nochange down nochange nochange nochange down down nochange 0 4 4
pert_264987 down nochange nochange nochange nochange nochange down nochange nochange nochange nochange down down 0 4 4
pert_264989 down nochange nochange nochange nochange nochange down nochange nochange nochange nochange down up 1 3 4
pert_264997 down nochange nochange nochange nochange nochange down nochange nochange nochange up down nochange 1 3 4
pert_265015 down nochange nochange nochange nochange nochange down nochange nochange up nochange down nochange 1 3 4
pert_265069 down nochange nochange nochange nochange nochange down nochange up nochange nochange down nochange 1 3 4
pert_265393 down nochange nochange nochange nochange nochange nochange down down nochange nochange down nochange 0 4 4
pert_265447 down nochange nochange nochange nochange nochange nochange down nochange down nochange down nochange 0 4 4
pert_265465 down nochange nochange nochange nochange nochange nochange down nochange nochange down down nochange 0 4 4
pert_265473 down nochange nochange nochange nochange nochange nochange down nochange nochange nochange down down 0 4 4
pert_265475 down nochange nochange nochange nochange nochange nochange down nochange nochange nochange down up 1 3 4
pert_265483 down nochange nochange nochange nochange nochange nochange down nochange nochange up down nochange 1 3 4
pert_265501 down nochange nochange nochange nochange nochange nochange down nochange up nochange down nochange 1 3 4
pert_265555 down nochange nochange nochange nochange nochange nochange down up nochange nochange down nochange 1 3 4
pert_265609 down nochange nochange nochange nochange nochange nochange nochange down down nochange down nochange 0 4 4
pert_265627 down nochange nochange nochange nochange nochange nochange nochange down nochange down down nochange 0 4 4
pert_265635 down nochange nochange nochange nochange nochange nochange nochange down nochange nochange down down 0 4 4
pert_265637 down nochange nochange nochange nochange nochange nochange nochange down nochange nochange down up 1 3 4
pert_265645 down nochange nochange nochange nochange nochange nochange nochange down nochange up down nochange 1 3 4
pert_265663 down nochange nochange nochange nochange nochange nochange nochange down up nochange down nochange 1 3 4
pert_265681 down nochange nochange nochange nochange nochange nochange nochange nochange down down down nochange 0 4 4
pert_265689 down nochange nochange nochange nochange nochange nochange nochange nochange down nochange down down 0 4 4
pert_265691 down nochange nochange nochange nochange nochange nochange nochange nochange down nochange down up 1 3 4
pert_265699 down nochange nochange nochange nochange nochange nochange nochange nochange down up down nochange 1 3 4
pert_265707 down nochange nochange nochange nochange nochange nochange nochange nochange nochange down down down 0 4 4
pert_265709 down nochange nochange nochange nochange nochange nochange nochange nochange nochange down down up 1 3 4
pert_265727 down nochange nochange nochange nochange nochange nochange nochange nochange nochange up down up 2 2 4
pert_265735 down nochange nochange nochange nochange nochange nochange nochange nochange up down down nochange 1 3 4
pert_265743 down nochange nochange nochange nochange nochange nochange nochange nochange up nochange down down 1 3 4
pert_265745 down nochange nochange nochange nochange nochange nochange nochange nochange up nochange down up 2 2 4
pert_265753 down nochange nochange nochange nochange nochange nochange nochange nochange up up down nochange 2 2 4
pert_265771 down nochange nochange nochange nochange nochange nochange nochange up down nochange down nochange 1 3 4
pert_265789 down nochange nochange nochange nochange nochange nochange nochange up nochange down down nochange 1 3 4
pert_265799 down nochange nochange nochange nochange nochange nochange nochange up nochange nochange down up 2 2 4
pert_265807 down nochange nochange nochange nochange nochange nochange nochange up nochange up down nochange 2 2 4
pert_383815 down up down nochange nochange nochange nochange nochange nochange nochange nochange down nochange 1 3 4
pert_423181 down up nochange down nochange nochange nochange nochange nochange nochange nochange down nochange 1 3 4
pert_436303 down up nochange nochange down nochange nochange nochange nochange nochange nochange down nochange 1 3 4
pert_440677 down up nochange nochange nochange down nochange nochange nochange nochange nochange down nochange 1 3 4
pert_442135 down up nochange nochange nochange nochange down nochange nochange nochange nochange down nochange 1 3 4
pert_442621 down up nochange nochange nochange nochange nochange down nochange nochange nochange down nochange 1 3 4
pert_442783 down up nochange nochange nochange nochange nochange nochange down nochange nochange down nochange 1 3 4
pert_442837 down up nochange nochange nochange nochange nochange nochange nochange down nochange down nochange 1 3 4
pert_442855 down up nochange nochange nochange nochange nochange nochange nochange nochange down down nochange 1 3 4
pert_442863 down up nochange nochange nochange nochange nochange nochange nochange nochange nochange down down 1 3 4
pert_442865 down up nochange nochange nochange nochange nochange nochange nochange nochange nochange down up 2 2 4
pert_442873 down up nochange nochange nochange nochange nochange nochange nochange nochange up down nochange 2 2 4
pert_442891 down up nochange nochange nochange nochange nochange nochange nochange up nochange down nochange 2 2 4
pert_554401 nochange down down nochange down nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_558775 nochange down down nochange nochange down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_560233 nochange down down nochange nochange nochange down nochange nochange nochange nochange down nochange 0 4 4
pert_560719 nochange down down nochange nochange nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_560881 nochange down down nochange nochange nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_560935 nochange down down nochange nochange nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_560953 nochange down down nochange nochange nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_560961 nochange down down nochange nochange nochange nochange nochange nochange nochange nochange down down 0 4 4
pert_560963 nochange down down nochange nochange nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_560989 nochange down down nochange nochange nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_561043 nochange down down nochange nochange nochange nochange nochange up nochange nochange down nochange 1 3 4
pert_593767 nochange down nochange down down nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_598141 nochange down nochange down nochange down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_600301 nochange down nochange down nochange nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_600329 nochange down nochange down nochange nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_600355 nochange down nochange down nochange nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_611263 nochange down nochange nochange down down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_612721 nochange down nochange nochange down nochange down nochange nochange nochange nochange down nochange 0 4 4
pert_613183 nochange down nochange nochange down nochange nochange down nochange down nochange nochange nochange 0 4 4
pert_613207 nochange down nochange nochange down nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_613369 nochange down nochange nochange down nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_613423 nochange down nochange nochange down nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_613441 nochange down nochange nochange down nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_613449 nochange down nochange nochange down nochange nochange nochange nochange nochange nochange down down 0 4 4
pert_613451 nochange down nochange nochange down nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_613459 nochange down nochange nochange down nochange nochange nochange nochange nochange up down nochange 1 3 4
pert_613477 nochange down nochange nochange down nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_613531 nochange down nochange nochange down nochange nochange nochange up nochange nochange down nochange 1 3 4
pert_617095 nochange down nochange nochange nochange down down nochange nochange nochange nochange down nochange 0 4 4
pert_617581 nochange down nochange nochange nochange down nochange down nochange nochange nochange down nochange 0 4 4
pert_617743 nochange down nochange nochange nochange down nochange nochange down nochange nochange down nochange 0 4 4
pert_617797 nochange down nochange nochange nochange down nochange nochange nochange down nochange down nochange 0 4 4
pert_617815 nochange down nochange nochange nochange down nochange nochange nochange nochange down down nochange 0 4 4
pert_617823 nochange down nochange nochange nochange down nochange nochange nochange nochange nochange down down 0 4 4
pert_617833 nochange down nochange nochange nochange down nochange nochange nochange nochange up down nochange 1 3 4
pert_617851 nochange down nochange nochange nochange down nochange nochange nochange up nochange down nochange 1 3 4
pert_619039 nochange down nochange nochange nochange nochange down down nochange nochange nochange down nochange 0 4 4
pert_619201 nochange down nochange nochange nochange nochange down nochange down nochange nochange down nochange 0 4 4
pert_619255 nochange down nochange nochange nochange nochange down nochange nochange down nochange down nochange 0 4 4
pert_619273 nochange down nochange nochange nochange nochange down nochange nochange nochange down down nochange 0 4 4
pert_619283 nochange down nochange nochange nochange nochange down nochange nochange nochange nochange down up 1 3 4
pert_619309 nochange down nochange nochange nochange nochange down nochange nochange up nochange down nochange 1 3 4
pert_619687 nochange down nochange nochange nochange nochange nochange down down nochange nochange down nochange 0 4 4
pert_619741 nochange down nochange nochange nochange nochange nochange down nochange down nochange down nochange 0 4 4
pert_619759 nochange down nochange nochange nochange nochange nochange down nochange nochange down down nochange 0 4 4
pert_619767 nochange down nochange nochange nochange nochange nochange down nochange nochange nochange down down 0 4 4
pert_619769 nochange down nochange nochange nochange nochange nochange down nochange nochange nochange down up 1 3 4
pert_619903 nochange down nochange nochange nochange nochange nochange nochange down down nochange down nochange 0 4 4
pert_619921 nochange down nochange nochange nochange nochange nochange nochange down nochange down down nochange 0 4 4
pert_619929 nochange down nochange nochange nochange nochange nochange nochange down nochange nochange down down 0 4 4
pert_619931 nochange down nochange nochange nochange nochange nochange nochange down nochange nochange down up 1 3 4
pert_619957 nochange down nochange nochange nochange nochange nochange nochange down up nochange down nochange 1 3 4
pert_619975 nochange down nochange nochange nochange nochange nochange nochange nochange down down down nochange 0 4 4
pert_619983 nochange down nochange nochange nochange nochange nochange nochange nochange down nochange down down 0 4 4
pert_619985 nochange down nochange nochange nochange nochange nochange nochange nochange down nochange down up 1 3 4
pert_619993 nochange down nochange nochange nochange nochange nochange nochange nochange down up down nochange 1 3 4
pert_620001 nochange down nochange nochange nochange nochange nochange nochange nochange nochange down down down 0 4 4
pert_620003 nochange down nochange nochange nochange nochange nochange nochange nochange nochange down down up 1 3 4
pert_620021 nochange down nochange nochange nochange nochange nochange nochange nochange nochange up down up 2 2 4
pert_620029 nochange down nochange nochange nochange nochange nochange nochange nochange up down down nochange 1 3 4
pert_620039 nochange down nochange nochange nochange nochange nochange nochange nochange up nochange down up 2 2 4
pert_620047 nochange down nochange nochange nochange nochange nochange nochange nochange up up down nochange 2 2 4
pert_620093 nochange down nochange nochange nochange nochange nochange nochange up nochange nochange down up 2 2 4
pert_633133 nochange down nochange up down nochange nochange nochange nochange nochange nochange down nochange 1 3 4
pert_639695 nochange down nochange up nochange nochange nochange nochange nochange nochange nochange down up 2 2 4
pert_639721 nochange down nochange up nochange nochange nochange nochange nochange up nochange down nochange 2 2 4
pert_711865 nochange nochange down down down nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_716239 nochange nochange down down nochange down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_718399 nochange nochange down down nochange nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_718427 nochange nochange down down nochange nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_718453 nochange nochange down down nochange nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_729361 nochange nochange down nochange down down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_730819 nochange nochange down nochange down nochange down nochange nochange nochange nochange down nochange 0 4 4
pert_731305 nochange nochange down nochange down nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_731467 nochange nochange down nochange down nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_731521 nochange nochange down nochange down nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_731539 nochange nochange down nochange down nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_731547 nochange nochange down nochange down nochange nochange nochange nochange nochange nochange down down 0 4 4
pert_731549 nochange nochange down nochange down nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_731557 nochange nochange down nochange down nochange nochange nochange nochange nochange up down nochange 1 3 4
pert_731575 nochange nochange down nochange down nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_731629 nochange nochange down nochange down nochange nochange nochange up nochange nochange down nochange 1 3 4
pert_735193 nochange nochange down nochange nochange down down nochange nochange nochange nochange down nochange 0 4 4
pert_735679 nochange nochange down nochange nochange down nochange down nochange nochange nochange down nochange 0 4 4
